id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
1533,"Johnson, Dame Diana","Dame Diana Johnson","Rt Hon Dame Diana Johnson MP","Dame Diana Johnson",15,"Labour","Lab",3,false,"F","Kingston upon Hull North",3559,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
3970,"Johnson, Gareth","Gareth Johnson","Gareth Johnson MP","Gareth Johnson",4,"Conservative","Con",0,false,"M","Dartford",3438,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4824,"Johnson, Kim","Kim Johnson","Kim Johnson MP","",15,"Labour","Lab",3,false,"F","Liverpool, Riverside",3581,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4761,"Johnston, David","David Johnston","David Johnston MP","",4,"Conservative","Con",0,false,"M","Wantage",3827,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
3996,"Jones, Andrew","Andrew Jones","Andrew Jones MP","Andrew Jones",4,"Conservative","Con",0,false,"M","Harrogate and Knaresborough",3516,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4621,"Jones, Darren","Darren Jones","Darren Jones MP","Darren Jones",15,"Labour","Lab",3,false,"M","Bristol North West",3368,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1502,"Jones, Mr David","Mr David Jones","Rt Hon David Jones MP","Mr Jones",4,"Conservative","Con",0,false,"M","Clwyd West",3421,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4763,"Jones, Fay","Fay Jones","Fay Jones MP","",4,"Conservative","Con",0,false,"F","Brecon and Radnorshire",3357,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4501,"Jones, Gerald","Gerald Jones","Gerald Jones MP","Gerald Jones",15,"Labour","Lab",3,false,"M","Merthyr Tydfil and Rhymney",3602,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1438,"Jones, Mr Kevan","Mr Kevan Jones","Rt Hon Kevan Jones MP","Mr Jones",15,"Labour","Lab",3,false,"M","North Durham",3639,1,"2001-06-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4024,"Jones, Mr Marcus","Mr Marcus Jones","Rt Hon Marcus Jones MP","Mr Jones",4,"Conservative","Con",0,false,"M","Nuneaton",3667,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4716,"Jones, Ruth","Ruth Jones","Ruth Jones MP","",15,"Labour","Lab",3,false,"F","Newport West",3630,1,"2019-04-04T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4631,"Jones, Sarah","Sarah Jones","Sarah Jones MP","Sarah Jones",15,"Labour","Lab",3,false,"F","Croydon Central",3432,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4862,"Jupp, Simon","Simon Jupp","Simon Jupp MP","",4,"Conservative","Con",0,false,"M","East Devon",3460,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4316,"Kane, Mike","Mike Kane","Mike Kane MP","",15,"Labour","Lab",3,false,"M","Wythenshawe and Sale East",3873,1,"2014-02-13T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1566,"Kawczynski, Daniel","Daniel Kawczynski","Daniel Kawczynski MP","Daniel Kawczynski",4,"Conservative","Con",0,false,"M","Shrewsbury and Atcham",3729,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2022-01-21T00:00:00"
4805,"Kearns, Alicia","Alicia Kearns","Alicia Kearns MP","",4,"Conservative","Con",0,false,"F","Rutland and Melton",3712,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4680,"Keegan, Gillian","Gillian Keegan","Gillian Keegan MP","Gillian Keegan",4,"Conservative","Con",0,false,"F","Chichester",3409,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
